problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ3,9,2,100,"[1.67830473e-33 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.25404502e+00 1.25404502e+00
 3.76213507e+00]",0.07516169985837944,0.3316211600769891,,,159,138,127710,149400
DTLZ3,9,3,100,"[1.76724484e-35 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.22373544e-01 3.28949418e+00
 0.00000000e+00]",0.157058411385246,0.18956971496676267,,,153,89,122076,149400
DTLZ3,9,4,100,"[1.76724484e-35 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.47011443e-01
 9.88045771e-01]",0.1692201355008727,0.18956971496676234,,,167,64,120690,149400
DTLZ3,9,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.08785462e-01 2.08785462e-01
 8.19445174e-01]",0.05335125076409932,0.17971411754104197,,,173,25,143478,149400
DTLZ3,9,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.76008383e-01 2.76008383e-01
 8.81618237e-01]",0.13623853617947076,0.2904104317114602,,,172,96,155700,149400
DTLZ3,9,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.75620999e-01 2.75620999e-01
 8.80586894e-01]",0.13608376862909483,0.29026301480462546,,,173,148,156600,149400
DTLZ4,9,1,100,"[2.34474100e-033 5.33660978e-158 4.63372459e-001 0.00000000e+000
 4.41663621e-128 4.63372459e-001 4.63372459e-001 4.63372459e-001
 4.63372459e-001]",0.3930847687636438,0.4788304124122905,,,173,165,146322,149400
DTLZ4,9,2,100,"[1.06628978e-033 0.00000000e+000 8.10901811e-108 0.00000000e+000
 0.00000000e+000 1.11005629e-065 9.83364169e-001 0.00000000e+000
 2.45841042e-001]",0.1493660470714976,0.15766175091682333,,,162,166,142740,149400
DTLZ4,9,3,100,"[1.34996513e-052 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 9.96885008e-001 8.23532346e-117 0.00000000e+000
 2.49221252e-001]",0.1463744603614713,0.1609521419352543,,,168,166,131418,149400
DTLZ4,9,4,100,"[1.34996513e-52 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.48831549e-96 0.00000000e+00 9.94086257e-01
 2.48521564e-01]",0.1479144176106851,0.15888766718529784,,,169,164,130248,149400
